scenario_id,label,success,failure_reason,hover_height_cmd,landing_height_m,wind_speed_cmd,wind_dir_cmd,mean_wind_speed,max_wind_speed,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,final_altitude,final_abs_speed,final_abs_roll_deg,final_abs_pitch_deg,final_tag_error,stability_std_z,stability_std_vz,stability_std_vz_osc,touchdown_accel_rms,contact_count,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,max_contact_force,arm_force_fl_mean,arm_force_fr_mean,arm_force_rl_mean,arm_force_rr_mean,arm_force_imbalance,final_state,landing_cmd_time,pred_decision,gt_safe_to_land,decision_outcome,scenario_policy,launch_pid,launch_log,exception_message
464,unstable,0,touchdown_vz_peak_high,2.20836762948139,-8.97427092387153e-10,2.66829475786849,-98.3374325958213,2.59475146399604,3.52157735824585,0.329341777686744,0.174332355637344,0.527398658968187,6.72954929495701,0.180090543617731,0.20918087167708,-8.97427092387153e-10,0.000702609890368068,2.72542419575286e-11,3.1261527898682e-09,0.162572511751856,2.14275930984169e-07,0.00054759993916007,1.4191927532788,3.07049514399852,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.246896,land,unstable,FP,exploit,2184357,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s464_20260311_081403.log,
465,stable,1,,2.41798350564482,-8.97660447362248e-10,2.01564935014997,-98.7943381596045,2.1533440053463,2.92216944694519,1.00934691410198,0.538090727831955,0.554297187099575,6.6605088186809,0.189348376861612,0.205335442688481,-8.97660447362248e-10,0.000742932102655411,1.82750211945354e-10,3.24318345709335e-09,0.173361311034743,2.89369571304557e-07,0.00059980210704122,1.39692959899742,3.0223911588479,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.49797,land,stable,TP,boundary_validation,2191807,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s465_20260311_081449.log,
466,stable,1,,2.18406204470371,-8.93251724054924e-10,3,-101.625300612517,1.37441740036011,1.88943886756897,0.156474373148144,0.120521460578673,0.515189250455561,6.56171610435441,0.190361863413124,0.20659699176429,-8.93251724054924e-10,0.000562688110095592,2.77026012119129e-09,2.70291802115107e-10,0.17967837763085,2.75624386155948e-07,0.000549811699836554,1.38499742496792,2.99055828672418,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.272583,land,stable,TP,hard_negative,2199222,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s466_20260311_081536.log,
467,stable,1,,1.83789784605849,-5.04990629283807e-07,2.68548887896516,-99.6008844478028,1.75300192832947,2.1362726688385,0.216593363603351,0.14429197204108,0.357172248386814,4.41531333362699,0.161680853997786,0.17776328814255,-5.04990629283807e-07,0.000504094571908485,4.04053495250225e-09,0.000288823944152151,0.141290831863872,2.71195859587348e-07,0.000565233541531963,0.977450018962672,1.83430428883951,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.4822,land,stable,TP,exploit,2206807,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s467_20260311_081623.log,
468,stable,1,,1.8276633153971,-6.53235176042709e-07,2.49458120398484,-99.6726636384368,1.39908175809043,1.76172852516174,0.451968137259089,0.700911448326503,0.359842758601018,4.22730953755109,0.19844515511205,0.205514592157817,-6.53235176042709e-07,0.000652338008762088,4.03545270129711e-09,0.000373761811715254,0.196601978883268,3.03198210749909e-07,0.000521337485293507,1.00268217850649,1.77400075784893,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.962527,land,stable,TP,exploit,2214215,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s468_20260311_081710.log,
469,stable,1,,1.617324185795,-2.23438377042521e-06,3,-99.257608348728,1.66953900882176,2.41936731338501,0.225884883524617,0.13357544068317,0.354940681155038,4.25869987161897,0.176212244439355,0.195863688507986,-2.23438377042521e-06,0.0029602869112844,0.000873202911176708,9.03323913127195e-05,0.1624666449276,1.32930221287133e-06,0.00269191084869611,0.939163641289694,1.75888562832861,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.763331,land,stable,TP,hard_negative,2221627,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s469_20260311_081757.log,
470,stable,1,,2.27637111411843,-8.97698836681174e-10,2.6009570896073,-100.102931708216,2.35154540398542,2.9674186706543,1.34888246589796,2.11688527788421,0.180824794192187,6.57496509163988,0.188452804971137,0.526223412806148,-8.97698836681174e-10,0.000749555528789578,2.08257178591807e-10,3.26242428642177e-09,0.010932448323046,2.98098803362047e-07,0.000557564301527883,1.39740863598152,2.97313299395964,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,31.3315,land,stable,TP,exploit,2229019,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s470_20260311_081843.log,
471,stable,1,,1.56968374954601,-6.57940732537446e-07,1.97982515375928,-101.325884737613,1.75753653049469,2.36031150817871,0.531076674317283,1.17598516031146,0.342147771878632,4.39343786098784,0.153538264185354,0.1986765427907,-6.57940732537446e-07,0.000456640275939464,4.03577732858258e-09,0.000376457897330623,0.0452683982662981,3.00092179743466e-07,0.000524013708742844,1.01542870046827,1.80766677747315,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.983741,land,stable,TP,boundary_validation,2236704,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s471_20260311_081956.log,
472,stable,1,,1.99536357684945,-8.93149077480954e-10,2.69679349109325,-100.003337486616,0.78994208574295,1.5798841714859,0.166420741052996,0.0772294893779871,0.379437888100447,4.49371686645689,0.1905436812233,0.210883559980328,-8.93149077480954e-10,0.000549007429686663,2.77904314279786e-09,2.1597540452334e-10,0.168214938537754,2.7420747183699e-07,0.000581649572876607,0.992633255530883,1.85623009508599,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.227449,land,stable,TP,exploit,2244099,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s472_20260311_082044.log,
473,stable,1,,2.33579146558259,-6.09757642623428e-07,2.52156932662524,-99.7632604750576,2.26151823997498,2.8460738658905,0.305228232314358,0.0588560771219535,0.522169255983528,6.64072841498965,0.207710064552405,0.209180833547225,-6.09757642623428e-07,0.000608860587703033,4.03611431873032e-09,0.000348851021380293,0.206239295557586,2.88335742673199e-07,0.000587933923132981,1.39935151585044,3.02732601776336,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.517221,land,stable,TP,exploit,2251496,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s473_20260311_082130.log,
