scenario_id,label,success,failure_reason,tag_lock_acquired,landing_cmd_time,random_bias_x,random_bias_y,hover_height_cmd,landing_height_m,wind_speed_cmd,wind_dir_cmd,mean_wind_speed,max_wind_speed,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,final_altitude,final_abs_speed,final_abs_roll_deg,final_abs_pitch_deg,final_tag_error,stability_std_z,stability_std_vz,stability_std_vz_osc,touchdown_accel_rms,contact_count,final_state,launch_pid,launch_log,exception_message
11,unstable,0,z_unstable;vz_unstable;vz_oscillation_high,0,48.224824,0,0,2.05750825412374,4.40593211602782e-07,6.7257380478693,-88.4584155702488,0,0,1.03699823671151,1.14737156934854,0.0838878197474099,5.59134780210396,0.223497610527197,0.507682260776416,4.40593211602782e-07,0.00267497423440205,0.000176839947529817,2.30595691258655e-05,0.118550949340249,0.897222637992011,0.462783559367096,0.324044603558549,0.647225304732205,0,0,562819,,
12,unstable,0,z_unstable;vz_unstable;vz_oscillation_high;touchdown_accel_high,0,48.137774,0,0,2.61428482606882,-8.96273412139333e-10,1.94819974979991,154.534904347402,0,0,0.831715514320124,1.5472382222868,0.124691457900686,7.76663435949508,0.149454294914064,0.321566700173049,-8.96273412139333e-10,0.000502951506151061,7.43690051762136e-10,2.54713404244277e-09,0.121415360746426,1.07082946039673,0.706644783894837,0.417216520554618,0.979710465826195,0,0,571044,,
13,unstable,0,z_unstable;vz_unstable;vz_oscillation_high,0,48.242927,0,0,2.14998376598481,-2.23438104049433e-06,1.57276200344967,-89.6098111286288,0,0,0.708814869135169,1.1706106242548,0.0831612542252837,5.55198213143051,0.150514442902022,0.436949276790404,-2.23438104049433e-06,0.00296028226769223,0.000873201843880925,9.03322808982794e-05,0.0420069706409194,0.926467082650302,0.46033987375002,0.322190027423274,0.643869851469982,0,0,579230,,
14,unstable,0,tag_error_high;z_unstable;vz_unstable;vz_oscillation_high;touchdown_accel_high,1,19.332459,0.0348065258037977,0.292035564680867,2.41604467614664,-8.93125424708894e-10,3.78631079122183,-53.4025774573212,2.94490830103556,3.78631067276001,0.540345362303069,0.584240601919464,0.14752040900292,5.2104085512074,0.181535209719856,0.35248282821202,-8.93125424708894e-10,0.000547086650789267,2.77774282495482e-09,2.04487508105247e-10,0.284830386503674,1.46722211266667,0.609092923211356,0.446349043588111,0.871661194525581,0,0,587439,,
15,unstable,0,z_unstable;vz_unstable;vz_oscillation_high;touchdown_accel_high,1,23.722314,-0.296901997305855,-0.312234916933375,2.08583901882037,-2.23437223277476e-06,6.05760183288577,91.3424739402583,3.02880096435547,6.05760192871094,0.589277856736512,1.31417327516628,0.141462806075286,5.18908716155998,0.125801745892116,0.25543213455687,-2.23437223277476e-06,0.00296026754582451,0.000873198400425579,9.03319246718619e-05,0.0821627829324036,1.255033857895,0.565428793806449,0.453161621118522,0.807089091596297,0,0,595301,,
16,unstable,0,tag_error_high;z_unstable;vz_unstable;vz_oscillation_high,0,48.348522,0,0,2.33079755300897,-5.6917367181895e-07,6.23333784081609,156.243846322506,0,0,0.806970682563443,1.04825220974439,0.0814476799932308,5.39507368796197,0.213592102476319,0.563069038727186,-5.6917367181895e-07,0.000568280633066395,0.000325598119818762,4.03703179749888e-09,0.383950568488172,0.985764235821291,0.445368470505545,0.315418228317329,0.622506389197692,0,0,603288,,
17,unstable,0,z_unstable;vz_unstable;vz_oscillation_high,0,48.333029,0,0,1.92990620847373,-8.97161324223764e-10,4.55058928697754,-11.0193692190459,0,0,1.13279541747197,1.75908788607839,0.0855335314943649,5.55244099038881,0.243258588121744,0.631083031935568,-8.97161324223764e-10,0.000656617100041069,1.5033317557474e-10,2.99277044376585e-09,0.161981454273603,0.849599240156267,0.461952666807554,0.334316541963581,0.634583186282335,0,0,611513,,
18,unstable,0,z_unstable;vz_unstable;vz_oscillation_high,0,48.252349,0,0,1.81190206950124,-7.1895401014103e-07,2.69698115519105,-121.614369050433,0,0,0.677187585400848,1.49295204226108,0.0881121941333658,5.53225568270154,0.213322718560869,0.559139804919301,-7.1895401014103e-07,0.000718056164403787,4.03521516546021e-09,0.000411415929066572,0.114657446104135,0.814516773013478,0.460064800549814,0.333240193259026,0.64105975742328,0,0,620211,,
19,unstable,0,z_unstable;vz_unstable;vz_oscillation_high;touchdown_accel_high,0,48.136128,0,0,2.59428454068391,-8.93117405702823e-10,2.48972033635844,10.2719287822366,0,0,0.839129185586546,1.379225638241,0.121381658194982,7.68825758497061,0.193123682745908,0.70668597659786,-8.93117405702823e-10,0.000546419606585582,2.77688667757553e-09,2.01219391839994e-10,0.0150995550728101,1.06583907786617,0.706818724161551,0.418455444220659,0.986479842428347,0,0,628434,,
20,unstable,0,tag_error_high;z_unstable;vz_unstable;vz_oscillation_high,0,48.1829,0,0,1.96564872949978,-7.54451899913884e-07,4.81585553121309,-85.330337565548,0,0,0.768215459759118,1.88396378826645,0.0907892312901395,5.42458118980488,0.201293340166136,0.557384051171735,-7.54451899913884e-07,0.000753553942237116,4.03486692965223e-09,0.000431754721337523,0.557384051171735,0.861145274102669,0.451538220909712,0.325618034539794,0.626431338865688,0,0,636660,,
