scenario_id,label,success,cum_success_rate,mean_confidence,p10_confidence,p50_confidence,p90_confidence
42,stable,1,0.857142857142857,0.67933977514665,0.61050965063553,0.640301804055936,0.771036924573704
43,stable,1,0.86046511627907,0.663634236020664,0.613805806580539,0.640191676753993,0.772953713907733
44,stable,1,0.863636363636364,0.644569951974326,0.58180835813365,0.639592929496223,0.76958872806939
45,stable,1,0.866666666666667,0.642745314947322,0.532373608477005,0.639941872021373,0.780452264189104
46,stable,1,0.869565217391304,0.680576001356082,0.575685208460569,0.677600495517866,0.777968324975902
47,stable,1,0.872340425531915,0.592406987560829,0.510775149055216,0.552653895561114,0.662178866041819
48,stable,1,0.875,0.628040625386726,0.542625813797355,0.640048723098803,0.72599298323428
49,stable,1,0.877551020408163,0.690910224876488,0.619789291750884,0.67085669584476,0.784397995403813
50,stable,1,0.88,0.552172607704143,0.441674200350609,0.567283009992861,0.64028161360888
51,stable,1,0.882352941176471,0.505813200570715,0.407855609891689,0.48247035726031,0.635947045486295
52,stable,1,0.884615384615385,0.550925053930456,0.465724274006423,0.515654558005915,0.646876629841305
53,unstable,0,0.867924528301887,0.547140620442252,0.385320858857055,0.567007012815905,0.726874765185859
54,stable,1,0.87037037037037,0.578848056240445,0.438745123917572,0.580464581651409,0.771768271661686
55,unstable,0,0.854545454545454,0.54454200667858,0.387777551498647,0.585564688825732,0.722042187048007
56,stable,1,0.857142857142857,0.535336274153499,0.417841749026809,0.507717366174545,0.640302351897259
57,stable,1,0.859649122807018,0.61006541838642,0.526621693854343,0.637988941553803,0.691458370599541
58,stable,1,0.862068965517241,0.596245438321821,0.496487873135123,0.636359149864818,0.772401236577412
59,stable,1,0.864406779661017,0.567748737935393,0.421194353626628,0.573250623537523,0.753428428864494
60,stable,1,0.866666666666667,0.536650342644187,0.393479619497154,0.552616326190944,0.7102108169028
61,stable,1,0.868852459016393,0.548701627658145,0.399841113540594,0.588799076487227,0.715671082209755
62,stable,1,0.870967741935484,0.480992812379449,0.386830010413159,0.47049103843305,0.611973718987009
63,unstable,0,0.857142857142857,0.56121461048347,0.395172721938431,0.571681555909434,0.765959486467813
64,stable,1,0.859375,0.556231991217725,0.442699430358474,0.573066299610772,0.640305011537105
65,stable,1,0.861538461538462,0.54208655828092,0.38990179424868,0.5727417625097,0.64893971703869
66,stable,1,0.863636363636364,0.565013747620245,0.424526617201524,0.581986777730743,0.640304041596822
67,stable,1,0.865671641791045,0.469324564495829,0.380881406690431,0.428926262086742,0.589899895617425
68,unstable,0,0.852941176470588,0.584443494880647,0.457485276996485,0.610558858677788,0.765982643475872
69,stable,1,0.855072463768116,0.558738537664314,0.472457411847346,0.526248340206593,0.6660752056827
70,stable,1,0.857142857142857,0.571784832502671,0.500141375246318,0.535773272259658,0.659654866895792
71,stable,1,0.859154929577465,0.466174421183199,0.387684643947946,0.425653487573288,0.607832349067504
72,unstable,0,0.847222222222222,0.566988330912198,0.41773332554889,0.589525330620714,0.766416011272857
73,stable,1,0.849315068493151,0.494525315217159,0.398539319695821,0.466829951658901,0.617587132609008
74,stable,1,0.851351351351351,0.55535135218114,0.394228461534418,0.576566377566974,0.717614085688646
75,stable,1,0.853333333333333,0.470000199910184,0.391676273197354,0.434063385431423,0.58201501529678
76,stable,1,0.855263157894737,0.549761147760436,0.358073228853719,0.573313631062347,0.771460568976561
77,unstable,0,0.844155844155844,0.538880412456854,0.380938027589229,0.530191627513054,0.712359225145618
78,stable,1,0.846153846153846,0.562056890651384,0.378107731142832,0.58282878762704,0.760712314154073
79,unstable,0,0.835443037974684,0.576020582102955,0.407402618922014,0.587834237719858,0.776921447564341
80,stable,1,0.8375,0.531324493167572,0.393139343337211,0.51339429304916,0.640299881894422
81,stable,1,0.839506172839506,0.551705903342101,0.398048310978433,0.537105117855544,0.77144196793596
82,stable,1,0.841463414634146,0.560032002387492,0.39104475630206,0.578375272248176,0.716219523523886
83,stable,1,0.843373493975904,0.52105707780205,0.381404378168585,0.543975371162319,0.640288103187347
84,stable,1,0.845238095238095,0.563261798506067,0.396471725344544,0.57330512827635,0.775876445185038
85,stable,1,0.847058823529412,0.470976598118117,0.391026054112767,0.431388923363426,0.632655000580888
86,stable,1,0.848837209302326,0.539711201947472,0.418393059843021,0.446969158093365,0.727216442443521
87,stable,1,0.850574712643678,0.542092672903972,0.431620236545662,0.525258059687965,0.640301804055936
88,stable,1,0.852272727272727,0.467944579133191,0.386342726759785,0.430603072592091,0.61046950240002
89,unstable,0,0.842696629213483,0.575223314927072,0.4112967488466,0.578178133495301,0.763797537896274
