scenario_id,label,success,failure_reason,hover_height_cmd,landing_height_m,wind_speed_cmd,wind_dir_cmd,mean_wind_speed,max_wind_speed,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,final_altitude,final_abs_speed,final_abs_roll_deg,final_abs_pitch_deg,final_tag_error,stability_std_z,stability_std_vz,stability_std_vz_osc,touchdown_accel_rms,contact_count,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,max_contact_force,arm_force_fl_mean,arm_force_fr_mean,arm_force_rl_mean,arm_force_rr_mean,arm_force_imbalance,final_state,landing_cmd_time,launch_pid,launch_log,exception_message
15,unstable,0,touchdown_vz_peak_high,2.42174904579123,-8.93266086827857e-10,2.07157319841624,-127.179277853376,0.785362458229065,1.31594169139862,0.182818745218003,0.00592339957374888,0.513431883414265,6.71845158576659,0.204346076190237,0.216117768713018,-8.93266086827857e-10,0.000564679905531603,2.76816519010445e-09,2.78897127477539e-10,0.216117768713018,2.73287169092342e-07,0.000548392248016407,1.41645032099633,3.06680677229025,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.983871,3912410,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s015_20260310_180549.log,
16,stable,1,,1.96048941471766,-8.93275817025771e-10,2.06583996800411,-127.49773328537,1.00888266563416,1.17205381393433,0.159917162452531,0.00887510300896099,0.466468554357357,6.65937266107936,0.215131867621624,0.217277386245448,-8.93275817025771e-10,0.000566028057157014,2.76674547264532e-09,2.84723226828685e-10,0.217277386245448,2.74230562516e-07,0.000503768418991859,1.40508484106797,3.04614353447049,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.193683,3919815,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s016_20260310_180636.log,
17,stable,1,,2.4088422515896,-5.67999710950854e-07,2.14299801973763,-128.962802644176,0.398368942737579,0.677521407604218,0.0890818527639824,0.0312584086830577,0.520761757916009,6.65942849974712,0.203606574766935,0.204260073693409,-5.67999710950854e-07,0.000567106655698025,0.000324925490109649,4.03747961515405e-09,0.204260073693409,2.52523552706213e-07,0.000502766047277608,1.40571105180577,3.04843446021681,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.754194,3927206,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s017_20260310_180723.log,
18,stable,1,,1.54176655276776,-5.14067000564118e-07,2.22816123275525,-126.670654732771,0.578087389469147,1.15617477893829,0.151547771646938,0.0781488740259211,0.346669712460884,4.32694021335992,0.190343611481331,0.202014339834577,-5.14067000564118e-07,0.000513170856764043,4.03931740381455e-09,0.000294024320975942,0.178672883128085,2.92596834810498e-07,0.000576551901710271,0.954804332915301,1.78684820525736,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.778887,3934598,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s018_20260310_180809.log,
19,stable,1,,1.51029524028556,-8.93114413107362e-10,2.04251435021265,-129.96185979745,0.710833418369293,1.0337221622467,0.134943355118992,0.0270769243543274,0.329785387754151,4.34647789977511,0.197113482716053,0.197313362279466,-8.93114413107362e-10,0.000567520226795009,2.77643071636177e-09,2.00211479661075e-10,0.197313362279466,2.74320361861024e-07,0.000503787875027578,0.959045230434626,1.79333746350598,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.284101,3941994,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s019_20260310_180855.log,
20,stable,1,,1.8885150487678,-2.23438090982155e-06,2.08570075519753,-128.056014783656,0.86210893591245,0.900305807590485,0.591383472190234,2.45209966608203,0.388179161502604,4.38171912477054,0.186929518401483,0.268784069420282,-2.23438090982155e-06,0.00296028205648425,0.000873201792788899,9.03322756106541e-05,0.0178999119464375,1.33623745999703e-06,0.00283187694464566,1.13715281735396,1.81928019975685,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,6.199847,3949417,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s020_20260310_180941.log,
21,stable,1,,1.71238589519079,-5.51532811761909e-07,2.13641346485994,-125.676887974827,1.4519624710083,2.09530830383301,0.196461405939092,0.140767688889988,0.358507932111886,4.33705187667044,0.161009066586007,0.16103973887946,-5.51532811761909e-07,0.000550639502526002,0.00031549065072252,4.03756544945831e-09,0.160988618390371,2.53438221147498e-07,0.000506200347385144,0.958294329511609,1.79736065081739,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.017986,3956848,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s021_20260310_181028.log,
22,stable,1,,2.26328275856512,-5.66126940306602e-07,2.35148423344609,-126.945964803828,0.796766042709351,1.69156885147095,0.165141107820521,0.0497366775576235,0.528276633848559,6.67918473389176,0.198436508575867,0.20942925399423,-5.66126940306602e-07,0.000565233852115002,0.000323852471858191,4.03801430680988e-09,0.184434753662294,2.8935635604509e-07,0.000574507296505986,1.40553482102256,3.05118596141982,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.245099,3964256,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s022_20260310_181114.log,
23,stable,1,,1.87655163874555,-1.86916395332295e-06,1.93451523673508,-126.600946867543,1.89668497443199,2.00104284286499,0.322703361249273,0.333296903518887,0.384103375877946,6.43427534311414,0.111449206990677,0.180484212824777,-1.86916395332295e-06,0.00259506653774075,0.000730416993241984,7.55611669107428e-05,0.0733151696907493,1.21407803015628e-06,0.00276972204234222,1.36359338140646,2.91318492773614,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,8.359861,3971632,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s023_20260310_181200.log,
24,stable,1,,1.57569040687677,-5.47694106191434e-07,2.00378024754775,-125.213430450513,1.52733008066813,2.29897332191467,0.264648350092796,0.0401960514022512,0.351514508102183,4.39588936527641,0.205337594621299,0.208515737394731,-5.47694106191434e-07,0.000546800745795137,0.000313291235819735,4.03865773436831e-09,0.208515737394731,2.73059253503501e-07,0.000578178305387892,0.971349124817022,1.81910221190263,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.803161,3979073,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s024_20260310_181249.log,
25,stable,1,,1.94958664668614,-1.86916388330388e-06,2.16169524649256,-125.656854091233,1.22530841827393,1.67079412937164,0.310442684522766,1.15175750213087,0.418722011454872,6.42436558450231,0.220967611057914,0.233105131900567,-1.86916388330388e-06,0.00230975545749985,0.000730416965862843,7.55611640300899e-05,0.233105131900567,1.35184778615746e-06,0.00284337207158901,1.34545751948088,2.93244869121303,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.657124,3986491,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s025_20260310_181335.log,
26,stable,1,,1.79621271791105,-1.86916271152706e-06,1.92177301102733,-127.273798973881,2.40061740314259,2.77686500549316,1.36108209821018,1.6759701955816,0.126023001781995,4.26947914121644,0.204934091523446,0.444782840151004,-1.86916271152706e-06,0.00230975337186527,0.000730416507752767,7.55611166922664e-05,0.444782840151004,1.36898515567843e-06,0.00256894357553258,1.07663316495357,1.75726463331302,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,32.144719,3993907,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s026_20260310_181424.log,
27,stable,1,,1.77882487726292,-8.95310370103101e-10,1.95777720415273,-127.450804115958,2.82358566919963,3.73806238174438,0.45094834458647,1.31382157534809,0.402063345631418,4.9260649116491,0.272700216658416,0.311682359954298,-8.95310370103101e-10,0.000386442820770134,1.07307764564358e-09,2.19468605183705e-09,0.311682359954298,3.62903702995157e-07,0.000651361853533276,1.14031298122411,2.08190661258131,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.235551,4001568,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s027_20260310_181536.log,
28,stable,1,,2.27970006866049,-8.95652561573492e-10,2.18106616830809,-126.090401112678,2.03191542625427,3.08772158622742,0.509114904997383,1.68240538174995,0.55588558091724,6.67035201922789,0.253889760234568,0.278244934428184,-8.95652561573492e-10,0.000415317808810945,1.03424068022891e-09,2.28788013053482e-09,0.278244934428184,3.17851907659809e-07,0.000600681065613401,1.40993035400553,3.01130516867428,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.283935,4008960,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s028_20260310_181623.log,
29,stable,1,,1.7968836094873,-8.92211383006147e-10,2.01328538112111,-127.678120436102,1.65630932648977,2.17472958564758,1.46712023700313,0.219999174748264,0.399082890854147,4.28801267032465,0.241814853225742,0.271766408184592,-8.92211383006147e-10,0.000438231988516592,2.79535745766861e-09,2.31980428802552e-10,0.27107170041187,2.83324152922006e-07,0.000573732393311556,1.08015208335111,1.7646826432175,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.017215,4016357,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s029_20260310_181709.log,
30,unstable,0,touchdown_vz_peak_high,2.20791123281489,4.40590504865435e-07,1.88602494599616,-127.181079273495,2.46282923221588,3.00185656547546,0.507216862739285,1.66728032918203,0.546809848624157,6.72895232992946,0.264702296854165,0.284797940568944,4.40590504865435e-07,0.00267497530117446,0.000176838863224489,2.30594283404604e-05,0.284797940568944,1.27901003765751e-06,0.00276281130923329,1.40003646319457,3.11482851156103,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.267865,4023744,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s030_20260310_181755.log,
31,stable,1,,2.34824587963752,7.25904218842735e-07,1.87861306415356,-126.563710066222,3.89843153953552,4.06782245635986,0.396675281158913,0.227166160248991,0.531607361363805,6.62236867413616,0.178506487045681,0.184164611643816,7.25904218842735e-07,0.00259506605555838,0.000288025843115632,3.16060641562673e-05,0.176365334519759,1.45174816781693e-06,0.00205639715575014,1.39402243265702,3.01665765442599,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.259147,4031134,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s031_20260310_181841.log,
32,stable,1,,1.86082994194877,-8.9675828190893e-10,1.79206942055779,-126.815652584263,3.13367559228625,4.20823764801025,1.57594396571042,1.21272754914966,0.125523138015064,4.46107209158461,0.226847126427977,0.469740282350423,-8.9675828190893e-10,0.000586865042935507,4.19671815925907e-10,2.79048777787759e-09,0.456349274741044,2.80786020524751e-07,0.000577759796534191,1.07755216126532,1.87618456968852,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,32.103715,4038552,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s032_20260310_181927.log,
33,stable,1,,1.7460679157378,-7.4845616984565e-07,1.96242550789958,-122.972487515414,3.7221603280022,4.15105533599854,1.41435745158469,1.61442130521158,0.123767793550279,4.30898172845334,0.160946284994567,0.310818816772219,-7.4845616984565e-07,0.00074755823117871,4.03560568517543e-09,0.000428319422153282,0.310818816772219,3.19065390042867e-07,0.000671841781051914,1.08314973642672,1.78546749777688,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,32.005393,4046183,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s033_20260310_182040.log,
34,stable,1,,2.49897631142204,-1.86916042982287e-06,2.02970454595656,-125.812686346147,4.27035641670227,4.29512500762939,0.53848273729352,1.79892956400113,0.545292927693175,6.64231851622053,0.256339518746448,0.290357676958542,-1.86916042982287e-06,0.00230974923203558,0.000730415615695605,7.55610243759581e-05,0.287760006264938,1.33984058440867e-06,0.00269773922604278,1.4340822168663,3.02663190593363,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.763558,4053802,/home/j/INCSL/IICC26_ws/src/sjtu_drone-ros2/matlab/logs/autosim_launch_s034_20260310_182153.log,
