scenario_id,mean_wind_speed,max_wind_speed,wind_velocity_x,wind_velocity_y,wind_velocity,wind_acceleration_x,wind_acceleration_y,wind_acceleration,wind_body_force_x,wind_body_force_y,wind_body_force,mean_wind_body_risk,mean_wind_gust_risk,mean_wind_risk_raw,min_thrust_margin_n,mean_estimation_uncertainty,gps_dropout_enabled,gps_dropout_start_sec,gps_dropout_duration_sec,moving_pad_enabled,moving_pad_amp_u,moving_pad_amp_v,moving_pad_freq_hz,mean_abs_roll_deg,mean_abs_pitch_deg,mean_abs_vz,max_abs_vz,mean_tag_error,max_tag_error,stability_std_z,stability_std_vz,mean_imu_ang_vel,max_imu_ang_vel,mean_imu_lin_acc,max_imu_lin_acc,wind_speed_cmd,wind_dir_cmd,hover_height_cmd,gt_safe_to_land,label,success,onto_wind_condition,onto_gust,onto_temporal_pattern,onto_drone_state,onto_tag_observation
86,1.72385374877764,2.48955416679382,-0.227359722974939,-1.69698132141552,1.72385374877764,0.00121401866957945,0.00265961191936861,0.00292358972698548,-0.00480791827163939,-0.150549373248707,0.150721670262603,0.00973249410369115,0.11626663258654,0.117509632121337,15.3286027439446,0.124413063969324,0,13.5393407355831,5.70923833281908,1,0.0497518580267573,0.135377489232984,0.159380845707177,1.92342793895463,1.38621621517423,0.0496123862925965,0.173131967208224,0.175775470271884,0.464323928837316,2.2181627793574e-09,0.0196773121858679,NaN,NaN,NaN,NaN,1.74559850451354,-96.6109051974514,2.41005679136509,stable,stable,1,0.483196259431638,0.172818585503589,0.11084653853741,0.949189459928404,0.321877568768052
87,1.91482377481663,2.65393352508545,-0.268978373336019,-1.88158174521828,1.91482377481663,0.00401351283175606,-0.000717557736672501,0.00407715272661316,-0.00704079516789198,-0.184236349527505,0.184530257000594,0.0119041975205945,0.133610995256998,0.134626402613258,15.4218950241435,0.231372330122502,1,11.6867672880642,8.20173640664077,1,0.152667391214493,0.0413871718391558,0.127977668635309,0.947547478039113,1.03886083006008,0.0745416592911728,0.251126617999058,0.135638064439449,0.384307506332389,0.0269044998088316,0.0172265797159944,NaN,NaN,NaN,NaN,1.90999160407999,-98.7042901753648,2.31307004784218,unstable,unstable,0,0.537544953807085,0.167047171810364,0.118450069362627,0.947121676505063,0.339716415804689
88,1.87876408063123,2.67358016967773,-0.209410959716772,-1.84593515478448,1.87876408063123,0.00410953025240709,-0.0136483855317842,0.0142536544969936,-0.00658837078304773,-0.170522973579644,0.170837435783499,0.011018419821605,0.153134451533564,0.154078818926995,15.4086197208103,0.132337231803563,0,13.8875062911017,5.08146449625611,1,0.124289860317024,0.0327647879203119,0.211920514001134,0.814177368089029,0.618664868349078,0.056249684493118,0.251927580442529,0.15762185163912,0.350282942432712,0.0253498712657987,0.0184050333085592,NaN,NaN,NaN,NaN,1.85804652340585,-97.050859497189,1.77163336430108,unstable,unstable,0,0.531819518620394,0.181446790026579,0.126827422852344,0.960617111609999,0.329945843715947
89,2.63489664757132,3,-0.415265657025557,-2.57044210015065,2.63489664757132,0.00310088923271547,0.00233688853834348,0.00388285488709169,-0.0172362477072674,-0.343280745636245,0.344243262563255,0.0222156842599685,0.191746477252635,0.194488165185368,15.4024931698665,0.248999045171651,0,4.82595561892094,6.78808489646118,0,0.158657756344186,0.0527308819024323,0.194652974457305,1.51027415845926,1.21625615290113,0.0430689338269132,0.152124820582134,0.11491703077691,0.390185532111349,0.00261378637273675,0.00422123346522526,NaN,NaN,NaN,NaN,3,-97.63858562104,2.21482480434818,stable,stable,1,0.741536739056093,0.0828601110257528,0.0524127434351338,0.957042794925855,0.348925764099151
90,1.94629969731534,2.73645853996277,-0.399374767170573,-1.88645674982289,1.94629969731534,0.00204969805941809,0.00596953204708931,0.00631162221588147,-0.0126717843406009,-0.189281943039335,0.19016583832184,0.0122708173558197,0.156764697725195,0.15768549078315,15.4079195612783,0.267332343044636,0,15.5121662423373,6.21456953755755,0,0.099735243538535,0.0765111890593137,0.0702514100235523,0.790744403103702,1.44567734039577,0.0782876246049988,0.250010515263729,0.101145162243675,0.379092694911304,0.0244160307313481,0.0162484112084842,NaN,NaN,NaN,NaN,1.97595603721084,-102.204413883357,2.42630161850579,unstable,unstable,0,0.550550350774055,0.178942870335249,0.124125804581803,0.943284302570005,0.355046594558367
91,1.94986890360366,2.71424293518066,-0.409023276059842,-1.89285912765943,1.94986890360366,0.00352526049798888,0.00491209672596335,0.00604616868966626,-0.0122012354111602,-0.190549579959172,0.191265889948599,0.0123416230277797,0.138201653118917,0.139228543135588,15.4125011320266,0.15562351990701,0,10.5849769826688,5.5416189691789,0,0.0805870001040943,0.15993218168655,0.170095763916324,1.0386074564396,1.24355025686494,0.0747478518923656,0.24984056265643,0.103020250249102,0.369059289005196,0.0239077384792899,0.0158955095094604,NaN,NaN,NaN,NaN,1.98269676727326,-102.196075792471,2.30281758438666,unstable,unstable,0,0.547810749588095,0.173092621364597,0.120261419641277,0.944694834877853,0.35421322211151
92,2.62798539412062,3,-0.318185655706408,-2.57786262827256,2.62798539412062,0.0054012946212297,0.00652264181920886,0.00846869764999419,-0.012594075841711,-0.346193259272253,0.346791400840276,0.0223804531542706,0.196595149325816,0.199368759298882,15.3924740954129,0.157292719703143,0,6.40836791255281,7.56990730700566,0,0.0441928440145751,0.174778105669634,0.259636278718881,1.30037935529999,1.15515840585236,0.0319629890387866,0.118021096814954,0.141149487580135,0.420567644885428,0.00103770260897944,0.0108193135615472,NaN,NaN,NaN,NaN,3,-96.1325283262809,1.87633655102363,stable,stable,1,0.740669856958607,0.0852558808920272,0.0555490255353254,0.964724994500124,0.337266894408829
93,1.86495964301163,2.72959160804749,-1.07022461389796,-1.50279571991832,1.86495964301163,-0.0012331208495088,-0.000341297284786009,0.00127948070172848,-0.0657521335252891,-0.125857361450455,0.146547280457601,0.00945511007397777,0.16210362842065,0.162467059303066,15.3450907394169,0.225943070729326,0,9.94981180001162,4.3547439749082,0,0.137349727489101,0.175882994617338,0.173579931849633,1.2901565933586,0.724237131519321,0.0870824927298349,0.538190259003314,0.327224156027131,0.494881093160222,0.0011246588801864,0.00484698133578654,NaN,NaN,NaN,NaN,1.94231362243633,-124.407068044808,2.35035182404085,unstable,unstable,0,0.529815983330381,0.194776763595051,0.119128445215784,0.940631374368185,0.25456704176572
94,2.63740038078924,3,-0.105927721018135,-2.59959769581547,2.63740038078924,-0.0151605341520586,0.00133784108695419,0.0152194485626016,-0.00405343938819754,-0.355392542055047,0.355703247625357,0.022957050486456,0.207128020267696,0.209334617249731,15.38929908553,0.211308835927596,1,13.3880231174258,9.5961960818218,0,0.1150995634425,0.174104298788264,0.206668941038269,1.26593725187138,1.25578584226107,0.0815005270190279,0.249758010070432,0.116699865446397,0.409017314840114,0.0243070475256043,0.0169832694291915,NaN,NaN,NaN,NaN,3,-91.4563513127585,2.27611911601078,unstable,unstable,0,0.745173691660411,0.0843751465588973,0.0676039545068281,0.939436197893731,0.348133393134935
95,1.96252893355855,2.84344172477722,-1.16946973621967,-1.5397158822911,1.96252893355855,-0.0040054409264833,-0.00757237362727664,0.00856646948086679,-0.077743814376491,-0.122828004255787,0.153064255540216,0.00989030786252218,0.208386327828721,0.209172122856284,15.2297707103507,0.210155633934198,1,7.93891588476564,3.12612890778989,1,0.105523798849424,0.0308200285958239,0.210859726264782,2.26076757725081,0.872966645593119,0.0673874128181377,0.246505334101328,0.207144296122879,0.587815996420003,0.0247432452454319,0.0137069505598915,NaN,NaN,NaN,NaN,1.96331253915621,-127.216824388755,1.97596253363979,unstable,unstable,0,0.565175473520203,0.199775897429027,0.135846882002417,0.941684096125729,0.307935868389831
